Series,Index,X,Y,Z
FOPDT fijo,246,245.006009,51.73920407,
FOPDT fijo,247,246.004941,51.84189208,
FOPDT fijo,248,247.002156,51.94391459,
FOPDT fijo,249,248.000698,52.04558565,
FOPDT fijo,250,249.009001,52.14775821,
FOPDT fijo,251,249.99935,52.24763216,
FOPDT fijo,252,251.004427,52.34850805,
FOPDT fijo,253,252.008815,52.44883073,
FOPDT fijo,254,253.002845,52.54764464,
FOPDT fijo,255,254.000248,52.646322,
FOPDT fijo,256,254.999081,52.74466942,
FOPDT fijo,257,255.999751,52.84272694,
FOPDT fijo,258,257.000643,52.94033708,
FOPDT fijo,259,257.99906,53.03724065,
FOPDT fijo,260,259.004417,53.13435055,
FOPDT fijo,261,260.002137,53.23026147,
FOPDT fijo,262,260.999628,53.32569318,
FOPDT fijo,263,262.005058,53.42142402,
FOPDT fijo,264,263.000719,53.51577138,
FOPDT fijo,265,264.007185,53.6106863,
FOPDT fijo,266,265.000671,53.70392937,
FOPDT fijo,267,266.006616,53.79789066,
FOPDT fijo,268,266.998566,53.89010237,
FOPDT fijo,269,268.00033,53.9827827,
FOPDT fijo,270,269.005269,54.07531093,
FOPDT fijo,271,270.007275,54.16712665,
FOPDT fijo,272,271.002562,54.25789139,
FOPDT fijo,273,272.005172,54.34888742,
FOPDT fijo,274,272.999994,54.43874564,
FOPDT fijo,275,274.006081,54.52918685,
FOPDT fijo,276,275.004053,54.61846894,
FOPDT fijo,277,276.001818,54.70730678,
FOPDT fijo,278,277.003105,54.79603233,
FOPDT fijo,279,278.006496,54.88451837,
FOPDT fijo,280,279.006619,54.97229395,
FOPDT fijo,281,280.005516,55.05954313,
FOPDT fijo,282,281.009161,55.14678752,
FOPDT fijo,283,282.003883,55.23284332,
FOPDT fijo,284,283.004072,55.31895957,
FOPDT fijo,285,284.004051,55.40464622,
FOPDT fijo,286,285.003701,55.48989535,
FOPDT fijo,287,286.003238,55.57472761,
FOPDT fijo,288,287.001863,55.65907777,
FOPDT fijo,289,288.006091,55.74349521,
FOPDT fijo,290,289.007661,55.82728565,
FOPDT fijo,291,290.004291,55.91026467,
FOPDT fijo,292,291.000238,55.99279198,
FOPDT fijo,293,292.000262,56.07526188,
FOPDT fijo,294,293.001568,56.15744257,
FOPDT fijo,295,294.003217,56.23925793,
FOPDT fijo,296,295.006455,56.32081047,
FOPDT fijo,297,296.000662,56.40124312,
FOPDT fijo,298,297.00381,56.48201174,
FOPDT fijo,299,298.004745,56.56221622,
FOPDT fijo,300,299.006448,56.64209811,
FOPDT fijo,301,300.005313,56.72137287,
FOPDT fijo,302,301.00374,56.80023466,
FOPDT fijo,303,302.002122,56.8787166,
FOPDT fijo,304,303.006217,56.95726992,
FOPDT fijo,305,304.00369,57.03493193,
FOPDT fijo,306,305.004342,57.11246944,
FOPDT fijo,307,306.004076,57.1895655,
FOPDT fijo,308,307.006122,57.2664702,
